company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
Eucalyptus,https://www.linkedin.com/company/eucalyptusvc,https://www.linkedin.com/company/14544489,eucalyptus.health,"At Eucalyptus, we run a trusted group of digital healthcare clinics on our telehealth platform including Pilot (men’s health), Kin (fertility), Software (dermatology) and Juniper (weight loss and menopause). Our mission is to bring high-touch, high-quality healthcare to patients around the world by empowering practitioners with technology.Since 2019, we’ve facilitated over one million consultations across Australia, the UK and Germany. With every consult, we’re breaking down boundaries to better health by providing better access to care, stigma-free experiences, and continuous support. Our commitment to providing better patient experiences is matched by our stellar record of patient safety. To learn more about Eucalyptus, visit our website.",2019,594,"Millers Point, New South Wales, Australia",,,Sydney,,,"153-159 clarence st, sydney, new south wales, australia",2000,,health and human services,"technology, information and internet",information technology and services,,,501-1000,,,2500000,"Greenhouse.io, Zendesk, React Redux, Netlify, Mobile Friendly, Microsoft Office 365, Google Cloud Hosting, Google Apps, Google Analytics, Gmail, Cloudflare DNS, Atlassian Cloud, Amazon AWS","[{""id"":""622947eaf4010500012fd24c"",""date"":""2022-01-01T00:00:00.000+00:00"",""type"":""Series C"",""amount"":""60M"",""currency"":""$"",""news_url"":null,""investors"":""Bond, Blackbird, NewView, W23, Airtree, OneVentures, Athletic Ventures""},{""id"":""60eef661bae74b00015f846c"",""date"":""2021-07-13T00:00:00.000+00:00"",""type"":""Series B"",""amount"":""30M"",""currency"":""$"",""news_url"":""https:\/\/techcrunch.com\/2021\/07\/13\/newview-capital-leads-22-3m-series-b-in-australian-telehealth-platform-eucalyptus\/"",""investors"":""NewView Capital, Blackbird Ventures, W23, AirTree Ventures""},{""id"":""60e02192bef3d80001686042"",""date"":""2020-05-21T00:00:00.000+00:00"",""type"":""Series A"",""amount"":""8M"",""currency"":""$"",""news_url"":""https:\/\/www.smh.com.au\/business\/companies\/woolworths-joins-8-million-funding-round-for-consumer-startup-eucalyptus-20200520-p54uqr.html"",""investors"":""Blackbird Ventures, W23""},{""id"":""618b3b63bc6ac70001438be4"",""date"":""2019-12-01T00:00:00.000+00:00"",""type"":""Other"",""amount"":""5.3M"",""currency"":""$"",""news_url"":null,""investors"":""""}]",93018858,2022-01-01,0,
"Department of Energy, Environment and Climate Action",https://www.linkedin.com/company/department-of-energy-environment-and-climate-action,https://www.linkedin.com/company/4855080,vic.gov.au,"Our climate is changing and the effects are being felt around the world.  Victoria has set an ambitious climate action agenda with a strong focus on establishing a renewable energy sector, reducing emissions and preparing for a future with less water.  At the Department of Energy, Environment and Climate Action, we will lead this exciting work, bringing together the energy, environment, climate action, water, agriculture and resources portfolios, in addition to its vital role in emergency management.  We are working to meet strong targets to halve emissions by 2030 and reach net zero by 2050.  We are rapidly progressing work to grow a strong renewable energy sector here in Victoria to support our solar, battery and offshore wind initiatives, ensuring that people have access to reliable and affordable energy.  We are supporting our agricultural, water and resources sectors to adapt and become more resilient to the effects of climate change while driving sustainable production and economic growth.  Victoria has an unmatched native landscape and we continue to work with Traditional Owners and other partners to protect and preserve it, ensuring a healthy, resilient and biodiverse environment.   Bringing these portfolios into a single department allows us to draw on knowledge and expertise of these critical sectors and work together to deliver the Victorian Government’s leading climate action and environmental protection agenda.  We value the comments and contributions we receive on social media. While we encourage people to join the conversation, we will not tolerate disrespectful, offensive, crude, hateful or irrelevant comments, or comments that make another person feel unsafe. Please keep all comments and discussion respectful and courteous. You can view our full social media policy on our website.",,3111,"East Melbourne, Victoria, Australia",,,East Melbourne,,,,,,government administration,,,,,1001-5000,,,,,,,,,
I work for NSW,https://www.linkedin.com/company/nsw-government,https://www.linkedin.com/company/3710,nsw.gov.au,"The NSW public sector includes ten departments and many agencies and organisations working together to develop policy and deliver important services such as health, education, housing, transport and infrastructure across NSW.We are over 300,000 dedicated people who share the same values - making a difference, giving back and responding to the future.Read our community guidelines: bit.ly/PD-community-guidelines",,1180,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,government administration,,,,,1001-2000,,,,,,,,,
NSW Treasury,https://www.linkedin.com/company/nsw-treasury,https://www.linkedin.com/company/416829,nsw.gov.au,"To help shape a thriving, resilient and sustainable New South Wales through public service excellence.",1824,885,"Millers Point, New South Wales, Australia",,,Sydney,,,"dolls point, russell avenue, primrose house, kogarah, nsw, australia",2219,,government administration,,,,,501-1000,,,,"Segment.io, Route 53, Rackspace MailGun, Mobile Friendly, Google Font API, Amazon CloudFront, Amazon AWS",,,,,
Box Hill Institute,https://www.linkedin.com/company/box-hill-institute,https://www.linkedin.com/company/40132,boxhill.edu.au,"For nearly 100 years, Box Hill Institute has been a leading provider of empowering education experiences for the people of Victoria.We are passionate about helping our students, employers and communities get to where they need to be. We always strive to provide modern, accessible and practical qualifications that keeps pace with what students, employers and communities need.As a people and values led organisation, we prioritise integrity, respect, and accountability, and always strive to uphold the highest standards for ourselves and our students. Our team of skilled, passionate, and dedicated employees is committed to transforming lives through the power of high-quality education and training.With three great campuses located in Box Hill, Lilydale, and Melbourne CBD, we are able to reach and serve a diverse range of students and communities. Join us in shaping the future through education and let us help you get to where you need to be.",,1114,"Box Hill South, Victoria, Australia",,,Box Hill,,,,,,education administration programs,,,,"Certificate I-IV,Diplomas,Advanced Diplomas,Bachelor Degrees,Associate Degrees,Short Courses,Youth Programs,Pathways,Higher Education,Pre-Apprenticeships,Apprenticeships,Traineeships,VCE,VETDSS",1001-2000,,,,,,,,,
Australian Institute of Management,https://www.linkedin.com/company/australian-institute-of-management,https://www.linkedin.com/company/24483,aim.com.au,"For 80 years, AIM has been at the forefront of learning and development solutions.AIM is proud to partner with a range of organisations from small to medium-sized enterprises to ASX-200 listed companies. We provide training and development to over 500 organisations and 20,000 individuals per year in a range of industries.For individuals, AIM and AIM Business School deliver market-leading education designed to meet their specific training needs as part of their professional and educational journey. Corporate teams benefit from AIM’s Tailored Learning Solutions, designed to align with business objectives and elevate organisational capability.Offering bespoke programs for public sector departments and agencies, AIM and CPM, our federally-focused division, specialise in management and leadership development programs for federal, state and local government.From manager to specialist, leader to executive, we are here to support and guide learners through their lifelong learning. Take command of your career and seize the future.AIM is a Registered Training Organisation (RTO Code: 0049), and AIM Business School is a registered Institute of Higher Education (TEQSA Provider ID: PRV12071) and is CRICOS registered (CRICOS ID: 03769D).",1941,458,"Millers Point, New South Wales, Australia",,,Sydney,,,"7 Macquarie Pl, Ground Floor, Sydney, New South Wales 2000, AU",2000,+61893877788,education administration programs,government administration,education management,,"Management Education,Business Courses,Professional Development,Masters of Business Administration,Leadership Development,Soft Skills,Vocational Qualifications,Custom Training,Tailored Learning Solutions",201-500,"https://twitter.com/aimcomau, https://www.facebook.com/aimcomau","leadership development, professional development, soft skills, vocational qualifications, custom training, management education, business courses, tailored learning solutions, masters of business administration",5360000,"reCAPTCHA, YouTube, Varnish, UPS, Typekit, TubeMogul, Taboola Newsroom, SnapApp, Salesforce, Route 53, Outlook, Nginx, Netlify, Mobile Friendly, Microsoft Office 365, Marketo, KISSmetrics, Google Tag Manager, Google Font API, Drupal, ClickDesk, Bootstrap Framework, Amazon AWS",,,,,
GrowPro,https://www.linkedin.com/company/growproexperience,https://www.linkedin.com/company/3360469,growproexperience.com,"GrowPro creamos experiencias únicas de estudio y trabajo en destinos internacionales para almas aventureras.🙌 ¿Nuestros destinos? Australia, Canadá, Nueva Zelanda, Irlanda, Malta y Estados Unidos🌏🤓Asesoramos a quienes buscan vivir en el extranjero mientras mejoran su educación y abren nuevo horizontes. 😏Apoyamos a los estudiantes antes de su viaje y durante su estancia,para asegurar que sacan el máximo provecho de su experienciaen el extranjero, siendo nuestros servicios totalmente gratuitos para ellos.👐A través de nuestro servicio personalizado y eventos locales (enorigen y en destino), llegamos a miles de personas y estudiantesque buscan nuestro consejo. 🤙Nos apasiona tener la oportunidad de ayudar a otras personas a vivir la misma experiencia que cada uno de nosotros ha tenido en algún destino extranjero.Esa es nuestra razón de ser, acompañarte a vivir la mejor aventura de tu vida. ✋🌏",2012,332,"Millers Point, New South Wales, Australia",,,Sídney,,,,,,education administration programs,,,,,201-500,"https://twitter.com/growproexp, https://facebook.com/growproaustralia",,,,,,,,
Australian Government Department of Human Services,https://www.linkedin.com/company/department-of-human-services-australia,https://www.linkedin.com/company/259021,humanservices.gov.au,"We are responsible for developing service delivery policy and providing access to social, health and other payments and services.We offer a range of health, social and welfare payments and services through:Centrelink—delivers payments and services for older Australians, job seekers, families, carers, people with disability, students, Indigenous Australians, and migrants, refugees and visitors. We also provide services at times of major change and during emergencies. Medicare—looks after the health of Australians through programs such as the Pharmaceutical Benefits Scheme, the Australian Immunisation Register and the Australian Organ Donor Register. Child Support—gives separated parents the financial and emotional support needed for their children’s wellbeing. Information for people seeking employment with the department can be found on our website at: https://www.humanservices.gov.au/corporate/careershuman-servicesWe stay connected with Australians through dedicated social media accounts including LinkedIn. Find out more on our website: https://www.humanservices.gov.au/corporate/media/social-media-department",,2840,Australia,,,,,,,,,government administration,,,,,1001-5000,,,,,,,,,
TAFE NSW,https://www.linkedin.com/company/tafe-nsw,https://www.linkedin.com/company/312228,tafensw.edu.au,"TAFE NSW is one of Australia's leading vocational education and training provider with over 100 years of experience. It caters for students at the local level, the national level and the international level. TAFE NSW has over 130 locations across the state. Through a series of forums, TAFE NSW works hard to ensure that it is meeting the expectations of the community and the industry in each local area.RTO: 90003",,12866,"Ultimo, New South Wales, Australia",,,Ultimo,,,,,,education administration programs,education management,,,"Vocational Education,Training,Educational Consulting,Access to Funding for Employers,Facilities Hire,Job Placement,Public Sector Workshops,Business Development",10000+,,,,,,,,,
National Disability Insurance Agency,https://www.linkedin.com/company/national-disability-insurance-agency,https://www.linkedin.com/company/6379973,ndis.gov.au,The National Disability Insurance Agency (NDIA) is an independent statutory agency whose role is to implement the National Disability Insurance Scheme (NDIS).Further information about the Scheme can be found on: http://www.ndis.gov.au.,2013,4593,"Geelong, Victoria, Australia",,,Geelong,,,"brougham st, geelong, victoria, australia",3220,+611800800110,government administration,,,,"inclusion,training and devlopment,disability support,disability ,NDIS,Provider Support",1001-5000,"https://twitter.com/NDIS, https://facebook.com/NDISAus","inclusion, disability, ndis, disability support, training & devlopment, provider support",1303000,"ExactTarget, Atlassian Cloud, YouTube, VueJS, Varnish, Ruxit, Outlook, Nginx, Mobile Friendly, Microsoft-IIS, Mailchimp Mandrill, JQuery 2.1.1, Google Tag Manager, Google Font API, Facebook Widget, Facebook Login (Connect), F5 BIG-IP, Drupal, Cloudflare DNS, CloudFlare Hosting, CloudFlare, Bootstrap Framework, Amazon SES, ASP.NET",,,,,
