company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
Australian Energy Market Operator (AEMO),https://www.linkedin.com/company/australian-energy-market-operator,https://www.linkedin.com/company/393664,aemo.com.au,"AEMO is responsible for operating Australia’s largest gas and electricity markets and power systems in the best interests of Australian energy consumers. These include the National Electricity Market and interconnected power system in Australia’s eastern and south-eastern seaboard, the Wholesale Electricity Market and power system in Western Australia, the Victorian gas transmission system and gas markets across Australia. As Australia’s independent energy markets and power systems operator, AEMO provides critical planning, forecasting and power systems security advice and services to deliver energy security for all Australians. AEMO is a not-for profit entity. For more information, head to www.aemo.com.au",2009,1533,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,"530 Collins Street, Melbourne, Victoria, Australia",3000,+61396098000,utilities,,,,"Market Operator,Power System Operator,Electricity & Gas,Energy Planning & Forecasting,Innovation,Energy,Market Body",1001-2000,"https://twitter.com/AEMO_Energy, https://www.facebook.com/AEMOenergy/","energy, innovation, gas, forecasting, energy planning, electricity, market operator, power system operator, market body",4504000,"reCAPTCHA, VueJS, Typekit, SuccessFactors (SAP), Ruxit, Route 53, New Relic, Mobile Friendly, Microsoft-IIS, Microsoft Office 365, Microsoft Azure Hosting, MailChimp, Hotjar, Google Tag Manager, Google Analytics, Bootstrap Framework, Atlassian Cloud, Amazon SES, Amazon Elastic Load Balancer, Amazon CloudFront, Amazon AWS, ASP.NET",,,,,
Zinfra,https://www.linkedin.com/company/zinfra,https://www.linkedin.com/company/2548664,zinfra.com.au,"At Zinfra, our purpose is to be the leading and trusted delivery partner, making a positive contribution to Australia’s energy infrastructure.  With a focus on delivering to the electricity and gas industries, we deliver a comprehensive range of engineering, project management, construction, operations and maintenance services. We take pride in our delivery performance, our genuine partnerships with employees, clients and communities, and the way we use our expertise to achieve the right outcomes every day.When you join Zinfra, you become part of our diverse, inclusive and passionate team, and you will have the opportunity to work with some of the best people in the industry to deliver exceptional outcomes.We are focused on allowing our people to reach their own potential, be themselves at work and enjoy working in an inclusive environment.  With a focus on equal pay, equal opportunities and policies to support a fully diverse and fulfilled workforce, we pride ourselves on meeting our employee’s expectations",2012,1169,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,,,+61391736500,utilities,,,,"Asset Operations,Engineering Design,Project Management,Construction,Civil Works,Asset Maintenance,Infrastucture Services,SCADA,Utility Infrastructure Services,Services and Projects,Electricity,Gas,Utilities",1001-2000,https://www.facebook.com/ZinfraGroupCareers,,,,,,,,
Stanwell Corporation Limited,https://www.linkedin.com/company/stanwell-corporation-limited,https://www.linkedin.com/company/43265,stanwell.com,"At Stanwell, we provide the spark for a bright future. As Queensland transforms to 80 per cent renewable energy by 2035, Stanwell is building our state’s clean energy future. We  invest in  reliable energy today, and renewable energy for tomorrow – creating opportunities for our people and communities.With Queensland's largest pipeline of renewable generation and storage in development, we already have an extensive supply of clean energy underway. As our renewable energy production increases to meet demand, we will gradually repurpose our existing power stations into clean energy hubs, replacing coal-fired energy with clean, renewable energy in line with the Queensland Energy and Jobs Plan. And while this transformation is undertaken, our coal-fired Tarong and Stanwell power stations will continue to generate reliable electricity to keep downward pressure on prices. At Stanwell we are committed to creating a bright future for our state and our people, helping them realise opportunities from the energy transformation. Stanwell is an energy employer for everyone. We foster an inclusive and diverse environment where everyone is embraced and respected. Our values - We care, We adapt and We deliver - are the foundation of our culture and underpin our success.",1997,944,"Brisbane City, Queensland, Australia",,,Brisbane City,,,,,+61733357444,utilities,,,,,501-1000,https://www.facebook.com/StanwellCorporation/,,7998000,"YouTube, WordPress.org, WP Engine, Shutterstock, Outlook, Mobile Friendly, Microsoft Office 365, Gravity Forms, Google Tag Manager, Google Font API, Google Analytics, Atlassian Cloud","[{""id"":""615de6ffa14ded000121d13e"",""date"":""2020-03-01T00:00:00.000+00:00"",""type"":""Other"",""amount"":""807.5K"",""currency"":""$"",""news_url"":null,""investors"":""The Australian Renewable Energy Agency""}]",807495,2020-03-01,0,
AGL,https://www.linkedin.com/company/agl,https://www.linkedin.com/company/6109,agl.com.au,"At AGL, we believe energy makes life better. That’s why we’re passionate about powering the way Australians live, work and move. Like you, we believe that the world is going through extraordinary challenges. We don’t shy away from the tough questions and we consider the answers carefully. We work in partnership with our customers and communities, and take action to shape a better future for all.As life changes, we join the change, constantly evolving over 185 years. Today we bring all that know-how to transform how Australians produce, share and consume energy. We’re investing in new ideas, partnerships and infrastructure – renewing and expanding our portfolio of sources and products to help make them more sustainable, reliable, affordable and useful.We’ll continue to innovate in energy and other essential services to enhance the way Australians live, and to help preserve the world around us for future generations.Need to get in contact with us? https://www.agl.com.au/contact-us-social",,5179,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,utilities,,,,"electricity,gas,solar,hydro energy,wind farms,renewable energy,internet,mobile,Electric Vehicles,Technology,Innovation,Batteries",5001-10000,,,,,,,,,
SA Power Networks,https://www.linkedin.com/company/sa-power-networks,https://www.linkedin.com/company/23130,sapowernetworks.com.au,"At SA Power Networks, our purpose is to empower South Australia. We do this by planning for the future, but also delivering electricity reliably, safely and cost effectively every day to 1.7 million South Australians. As a key player in Australia’s energy industry, and the state’s sole electricity distributor, we build, maintain and upgrade the poles, wires and substations powering the lives of South Australians. So we can swiftly respond to our customers’ needs we operate a 24-hour hotline, and support community safety by maintaining street lighting for local councils and government.In all, we employ over 2,000 people to safely supply power to homes and businesses the length and breadth of South Australia. The power of possibility is alive at SA Power Networks, the fifth largest electricity distributor in the Australian National Electricity Market. ",1946,1631,"Black Forest, South Australia, Australia",,,Keswick,,,"1, anzac highway, keswick, sa 5035, au",5035,+61884045667,utilities,,,,"electric,electricity,utilities,electricity providers,electric suppliers,sa power,electric company,solar,renewable energy,renewables,solar farm",1001-2000,"https://twitter.com/SAPowerNetworks, https://facebook.com/SAPowerNetworks","renewables, renewable energy, utilities, solar, electric, electricity, solar farm, electric company, electricity providers, electric suppliers, sa power",9674000,"YouTube, VueJS, ServiceNow, Salesforce, Outlook, Mobile Friendly, Microsoft Office 365, Incapsula, Google Tag Manager, Google Font API, Citrix NetScaler, Atlassian Cloud, Angular JS v1",,,,,
South East Water,https://www.linkedin.com/company/south-east-water,https://www.linkedin.com/company/21512,southeastwater.com.au,"At South East Water, we deliver healthy water for life. We're creating a better and more sustainable future. We encourage creativity and collaboration to turn new ideas and technologies into leading solutions for our customers. Together we question what's possible, challenge how things are approached and work with determination until we achieve success. Our passion for innovation and learning is how we've built our reputation as one of Australia's most progressive and vibrant utilities. South East Water is a government owned utility charged with responsibility to deliver essential water and sewerage services to the people of Melbourne’s south east. We're proud to deliver these high quality, essential services 24/7 to more than 1.8 million people. ",1995,1031,"Frankston, Victoria, Australia",,,Frankston,,,"watersedge, 101 wells street, frankston, victoria 3199, au",3199,+61039209130,utilities,,,,"sewerage treatment,potable water supply,recycled water supply,trade waste,Water Supply,Utility",1001-2000,"http://www.twitter.com/southeastwater, http://www.facebook.com/SEWmelbourne","potable water supply, trade waste, sewerage treatment, recycled water supply",916500000,"YouTube, VueJS, SuccessFactors (SAP), Salesforce Live Agent, Salesforce, Omniture (Adobe), Mobile Friendly, Microsoft Azure Hosting, ExactTarget, DNS Made Easy, Apache, Adobe Marketing Cloud",,,,,
EnergyAustralia,https://www.linkedin.com/company/energyaustralia,https://www.linkedin.com/company/4145,energyaustralia.com.au,"EnergyAustralia is one of Australia’s largest energy companies, providing energy for more than 1.6m Australians. We’re all about doing, not just dreaming: taking action to deliver better, more practical energy for our customers and all of us. Our product offering includes carbon neutral energy at home for no extra cost to our customers, and we service NSW, QLD, Victoria and South Australia with a significant portfolio of energy generation and storage facilities. Our focus is towards renewables and sustainable energy options for today and for the future. As one of the largest energy retailers in Australia, headquartered in Melbourne, we actively partner with and support organisations that help people and communities experiencing hardship. Doing. Not just dreaming. EnergyAustralia acknowledges Aboriginal and Torres Strait Islander peoples as the traditional custodians of this country and acknowledges their connection to culture, land and community.",1995,2216,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,"697 collins street, melbourne city mail centre, docklands, victoria, au, 3008",3008,+61386281000,utilities,,,,"Energy Generation,Electricity and Gas Retail,Renewable Energy,Energy Generation Development",1001-5000,"https://twitter.com/EnergyAustralia, https://www.facebook.com/EnergyAustralia/","renewable energy, energy generation, electricity & gas retail, energy generation development",5997400000,"Atlassian Cloud, Zendesk, YouTube, TubeMogul, Taboola Newsroom, Sendgrid, Salesforce, Postmark, Outlook, Omniture (Adobe), New Relic, Mobile Friendly, Microsoft Office 365, Melbourne IT, Google Play, Drupal, Apache, Amazon AWS, Akamai, Adobe Marketing Cloud",,,,,
SA Water,https://www.linkedin.com/company/sa-water,https://www.linkedin.com/company/27137,sawater.com.au,"We are South Australia’s leading provider of water and sewage services for more than 1.7 million people. For more than 160 years we have been working together with South Australians to ensure a reliable supply of safe, clean water and a dependable sewerage system.",1856,1784,"Adelaide, South Australia, Australia",,,Adelaide,,,"250 victoria square / tarntanyangga, adelaide, south australia 5000, au",5000,+611300729283,utilities,,,,,1001-2000,"https://twitter.com/sawatercorp, https://www.facebook.com/sawatercorp",,838000000,"Zendesk, React Redux, React, reCAPTCHA, VueJS, Sizmek (MediaMind), Mobile Friendly, Mimecast, Google translate widget, Google translate API, Google Tag Manager, Google Font API, Google Custom Search, Google Analytics, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, Bootstrap Framework, Atlassian Cloud, AddThis",,,,,
CS Energy,https://www.linkedin.com/company/csenergyqld,https://www.linkedin.com/company/48711,csenergy.com.au,"CS Energy is a proudly Queensland-owned and based energy company that provides power to some of our state’s biggest industries and employers. We employ more than 600 people who live and work in the Queensland communities where we operate.We generate and sell electricity, we are an energy retailer to commercial and industrial businesses, and we are investing in new energy assets including renewable hydrogen, solar and wind farms, and battery storage.We're focused on creating a work environment that allows our people to explore and find new ways of thinking and working. Energy is changing and so are we. If you're ready to be a part of it, then browse our positions vacant and apply now.",1997,728,"Herston, Queensland, Australia",,,Fortitude Valley,,,"540 wickham street, fortitude valley, queensland, australia",4006,+61732229599,utilities,,,,"Power generation,Energy ,Electricity",501-1000,"https://twitter.com/CSEnergyQld, https://www.facebook.com/CSEnergyQld/","energy, power generation, hydroelectricity, electricity",16735000,"Outlook, Mobile Friendly, Microsoft Office 365, Microsoft Azure Hosting, Google Tag Manager, Google Font API, Bootstrap Framework, Atlassian Cloud, ASP.NET",,,,,
Ergon Energy Network,https://www.linkedin.com/company/ergon-energy,https://www.linkedin.com/company/163671,ergon.com.au,"Ergon Energy supplies electricity to 746,000 customers across a vast operating area of more than one million square kilometres – around 97% of the state of Queensland – from the expanding coastal and rural population centres to remote communities in outback Queensland and the Torres Strait.We are all about providing safe, reliable, efficient and sustainable energy solutions to support our customers and the Queensland economy. Ergon Energy was formed in 1999 by the Queensland Government from its regional Queensland electricity distributors and their subsidiary retailer. In 2016, we merged with Energex Limited under the newly formed entity Energy Queensland.We acknowledge the Traditional Custodians and pay our respect to all Elders past, present and emerging on whose land we walk, work and live on, and their continuing connection to land, sea and community.Report an emergency: 13 16 70 or 000 (triple zero)Report a fault: 13 22 96General enquiries: 13 74 66Outage Finder: https://bit.ly/3LPPqHLWebsite: www.ergon.com.au",1999,1616,"Shelly Beach, Queensland, Australia",,,Townsville,,,"420 flinders st, townsville, qld 4810, au",4810,+61732288222,utilities,,,,"Electricity Distribution,Electricity Retailer",1001-2000,https://facebook.com/tr,electricity distribution & electricity retailer,,,,,,,
