company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
Pacific Blue Australia,https://www.linkedin.com/company/pacific-blue-australia,https://www.linkedin.com/company/47324,pacificblue.com.au,"Pacific Blue is a leading Australian energy company. As a generator, we own, operate, and develop wind and solar farms and hydro plants that produce only 100% clean energy right here in Australia — and have for more than 30 years. Through our retail energy plans, we’ve helped Australians save money to power their homes and businesses for more than a decade.Our renewable energy projects deliver positive social, environmental, and economic outcomes, and we are proud to have established a Community Benefits Sharing Program that has provided over $5 million in support to Australian communities.We share the economic benefits of our renewable energy generation projects with local and indigenous communities, ensuring everyone benefits, now. Join us in empowering a clean energy future, today. Work with us: https://www.pacificblue.com.au/about-us/contact-us/work-with-usWho we are: https://www.pacificblue.com.au/about-us/who-we-areCommunity funding and engagement: https://www.pacificblue.com.au/our-energy-production/community-funding-and-engagement",,220,"Docklands, Victoria, Australia",,,Docklands,,,,,,renewable energy semiconductor manufacturing,renewables and environment,,,"renewable energy,wind farms,clean energy,solar farms,run-off-river hydros",201-500,,,,,,,,,
Defence Australia,https://www.linkedin.com/company/defenceaustralia,https://www.linkedin.com/company/4285,defence.gov.au,"The Department of Defence is responsible for defending Australia and its national interests. By growing local and international Defence partnerships and investing in the Defence Industry to develop and deliver innovative, cutting-edge capabilities, the department promotes the security of Australia and protects its people.Terms of use: https://www.defence.gov.au/socialmedia/docs/Defence-Social-Media-Terms-of-Use.pdf",,13701,,,,Russell,,,,,,defense and space manufacturing,,,,"Defence,Government Agency,Defence Industry",10000+,,,,,,,,,
Austal,https://www.linkedin.com/company/austal-,https://www.linkedin.com/company/73056,austal.com,"Austal is an Australian shipbuilder and global defence prime contractor which designs, constructs and sustains some of the world’s most advanced commercial and defence vessels.Austal successfully balances commercial and defence projects and celebrated 35 years of success in 2023.  As of FY2023, Austal has been contracted to design and construct 356 commercial and defence vessels for more than 121 operators in 59 countries worldwide.Austal is Australia’s largest defence exporter and first ASX-listed shipbuilder. Austal has industry leading shipyards in Australia, the United States of America, The Philippines, Vietnam and service centres worldwide. Austal delivers iconic monohull, catamaran and trimaran commercial vessel platforms – including the world’s largest trimaran ferry and multiple defence programs such as the Littoral Combat Ship (LCS) and Expeditionary Fast Transport (EPF) for the United States Navy. Austal has grown to become the world’s largest aluminium shipbuilder.",1988,1812,,,,Henderson,,,"100 clarence beach road, henderson, western australia, australia",6166,+12514348000,shipbuilding,,,,"Shipbuilding,Ship Repairs,In Service Support,Systems,Defence,Cape Class Patrol Boat,Passenger Ferries,Vehicle Passenger Ferries,High Speed Support Vessels,Offshore Patrol Vessels,Expeditionary Fast Transport (EPF),Littoral Combat Ship (LCS),technology,naval design,naval architecture ,digital design,research and development",1001-2000,"https://twitter.com/austal, https://www.facebook.com/Austal","technology, research & development, digital design, systems, defence, naval architecture, shipbuilding, ship repairs, passenger ferries, naval design, offshore patrol vessels, in service support, cape class patrol boat, vehicle passenger ferries, high speed support vessels, expeditionary fast transport, littoral combat ship",984225000,"WordPress.org, YouTube, Typekit, Sendgrid, Outlook, OpenSSL, New Relic, Mobile Friendly, Mimecast, Microsoft Office 365, Liquidweb, Hubspot, Google Analytics, Drupal, Apache, Akamai RUM, Adobe Marketing Cloud, AT&T DNS",,,,,
Ego Pharmaceuticals,https://www.linkedin.com/company/ego-pharmaceuticals,https://www.linkedin.com/company/426231,egopharm.com,"Ego exists for people who want healthy skin. Ego is the specialist in skincare, backed by science.  We make our products in Australia for the people of the world.  We provide consistently high quality products, underpinned by heritage and integrity.Proudly Australian-owned, Ego Pharmaceuticals has led the way in the development, manufacture and marketing of innovative skincare products for over 70 years.From its inception as a family business in 1953, Ego has grown to become a world leader, producing a comprehensive skin and health care range for sale in Australia and around the world. Our reputation is built on consistently delivering effective, high-quality and innovative products to meet a diverse range of needs, and we are committed to creating the best possible skin therapies for our customers.That’s why millions of people trust Ego to help care for their skin every day.",1953,665,"Waterways, Victoria, Australia","Dandenong, Victoria, Australia",,Dandenong South,,,"21-31 malcolm rd, braeside vic 3195, australia",3195,+61395868800,pharmaceutical manufacturing,pharmaceuticals,,,,501-1000,"https://twitter.com/egoeveryday, https://www.facebook.com/egoskinhealth/",,189610000,"YouTube, Route 53, Mobile Friendly, Mixpanel, Hotjar, Google Tag Manager, Google Maps (Non Paid Users), Google Maps, Google Apps, Gmail, Bootstrap Framework, Apache, Amazon CloudFront, Amazon AWS, Adobe Marketing Cloud, Adobe CQ",,,,,
WesTrac Cat,https://www.linkedin.com/company/westrac,https://www.linkedin.com/company/96574,westrac.com.au,"As one of the largest authorised Cat equipment dealers in the world, WesTrac provides customers with a wide range of machinery and construction equipment as well as comprehensive whole-of-life management solutions designed to make owning and operating equipment as easy, profitable and safe as possible.With more than 4,500 team members, WesTrac is dedicated to creating and delivering outstanding value for our team, customers, shareholders and the community. We are committed to excellence and are focused on long-term customer relationships and a dedication to customer service, safety, quality and the environment.Community involvement is an important part of the WesTrac philosophy, and we are proud to support local activities, events and charities in the regions we are based.As part of Seven Group Holdings Ltd, WesTrac also has strong alliances with other leading Australian businesses, including Seven West Media, Coates Hire and SITECH.",,2652,"Tomago, New South Wales, Australia","Dayton, Western Australia, Australia",,Tomago,,,,,,machinery manufacturing,,,,"Equipment Solutions,New and Used Cat Equipment,Cat Parts and Components,Plant Maintenance and Repair,Component and Machine Rebuild,Equipment Monitoring,Asset Management,Technology Enabled Solutions,Operator Training,Heavy Equipment",1001-5000,,,,,,,,,
JB Hi-Fi,https://www.linkedin.com/company/jb-hifi,https://www.linkedin.com/company/132733,jbhifi.com.au,"The business was established in 1974 by Mr. John Barbuto (JB), trading from a single store in East Keilor, Victoria. He had one simple philosophy: to deliver a specialist range of Hi-Fi and recorded music at Australia's lowest prices.The business was sold in 1983 and by 1999 another nine stores were opened.In July 2000 JB Hi-Fi was purchased by private equity bankers and senior management with the aim of taking the successful model nationally.In October 2003, JB Hi-Fi was floated on the Australian Stock Exchange.Now, maintaining Barbuto's original philosophy, JB is one of Australasia's fastest growing and largest retailer of home entertainment.In July 2004, JB bought the Queensland Clive Anthony chain of stores which sell consumer electronics, white goods, cooking appliances and air-conditioning.JB stores offer the world's leading brands of Hi-Fi, Speakers, Televisions, DVD's, VCR's, Cameras, Car Sound, Home Theatre, Computers and Portable Audio and continues to stock an exclusive range of specialist Hi-Fi products.JB Hi-Fi also offers the largest range of video games, recorded music, DVD music and DVD movies with over 50,000 CDs and most major studio DVD releases, all at cheap prices! Customers are able to buy online from our huge range of CDs, DVDs, and games (see home page).JB Hi-Fi has it all - best brands, huge range, cheapest prices, convenient locations, but most importantly genuine personal service from our experienced specialist staff.",,4842,"Southbank, Victoria, Australia",,,Melbourne ,,,,,,computers and electronics manufacturing,,,,,1001-5000,,,,,,,,,
Hastings Deering,https://www.linkedin.com/company/hastings-deering,https://www.linkedin.com/company/152944,hastingsdeering.com.au,"Established in 1932, the Hastings Deering Group is one of the top 5 Cat dealers worldwide. The company is the exclusive distributor for the sale of Cat equipment, technology solutions, parts and service support in our territories. Headquartered in Brisbane, Queensland, Australia, Hastings Deering has over 3000 employees, across 23 business service centres throughout Queensland, Northern Territory, Papua New Guinea, the Solomon Islands and New Caledonia.We sell, rent, and offer outstanding support  and parts distribution services for customers across a range of industries, including mining, general construction, civil transport and commercial construction, power systems, government, primary industries and marine.In 1992, the Hastings Deering Group was purchased by Sime Darby Berhad, one of the oldest and largest Cat dealers in the world and a multinational organisation with more than 200 companies operating in 26 countries.Today, the combination of our rich history, the expertise of our people and our genuine commitment to understand our customers’ needs continues to sustain Hastings Deering as a market leader providing solutions that deliver superior outcomes for our customers.",1932,2037,"Coopers Plains, Queensland, Australia",,,Brisbane,,,"1123 beaudesert rd, archerfield, queensland, australia",4110,+61131228,machinery manufacturing,machinery,,,"Caterpillar Parts & Service Support,Caterpillar Certified Rebuilds,Caterpillar Equipment Sales,Caterpillar Rentals,Earth Moving Equipment,Construction Equipment,Mining Equipment,New & Used Equipment Sales,Training & Assessment Services,AustChrome Hard Chroming services,Machinery Maintenance",1001-5000,"https://twitter.com/hastingsdeering, https://www.facebook.com/HastingsDeering/","training, construction equipment, mining equipment, new, service support, assessment services, used equipment sales, earth moving equipment, caterpillar parts, machinery maintenance, caterpillar equipment sales, caterpillar certified rebuilds, caterpillar rentals, austchrome hard chroming services",540000000,"YouTube, UltraDns, SiteCore, Outlook, Mobile Friendly, Microsoft Azure Monitor, Microsoft Azure Hosting, Microsoft Application Insights, Google Tag Manager, DynECT, ASP.NET",,,,,
Wipro Consumer Care and Lighting,https://www.linkedin.com/company/wiproconsumercare,https://www.linkedin.com/company/9437247,wiproconsumercare.com,"Founded in 1945 as a Vegetable Oil Company, Wipro Consumer Care and Lighting is one of the fastest growing FMCG companies in India, Asia and Africa. With a talent base of over 10,000+ employees, the company has presence in 60+ countries predominantly in India, SAARC, ASEAN, MENA, South Africa and UK. Women employees constitute nearly 60% of the total workforce.Wipro Consumer Care and Lighting has 16 manufacturing units in India, Malaysia, Indonesia, Philippines, Vietnam, China and South Africa. It also has the state of the art Research & Development and Innovation Centers in India, Malaysia, China, Philippines and South Africa.The company has a diverse portfolio of category-defining and market-leading brands:India: Santoor, Hygienix, Maxkleen, Wipro Safewash, Wipro Softouch, Chandrika, Giffy, Glucovita, Enchanteur, Aramusk, Wipro Garnet and many more. Visit https://www.wiproconsumercare.comSingapore: EverSoft, Bio-essence, Romano, Dashing, Aiken, Enchanteur and many more. Visit https://www.wipro-unza.com/singapore/ and https://wipro-ldw.com/index.php/homeMalaysia: Safi, Bio-essence, Enchanteur, Romano, Dashing, Aiken, Eversoft, Carrie Junior, MaxKleen and many more. Visit https://www.wipro-unza.com/malaysia-en/ and https://wipro-ldw.com/index.php/homeIndonesia: Vitalis, Sumber Ayu, Safi, Aiken, Enchanteur, Do Re Mi, Izzi and many more. Visit https://www.wipro-unza.com/indonesia-en/Vietnam: MaxKleen, Romano, Enchanteur, Gervene, Carrie Junior and many more. Visit https://www.wipro-unza.com/vietnam-en/China: Enchanteur, Romano, Bio-essence, Ginvera, MaxKleen, Enear, Vcnic, Pahnli, Zici and many more. Visit https://www.wipro-unza.com/china-en/ , https://wipro-ldw.com/index.php/home and https://www.wipro-maer.com/Philippines: Hygenix, Maxi-Peel, SkinWhite, Vitress, MaxKleen, Flawlessly U, Kolors, Bio-science and many more. Visit https://www.splash.com.phSouth Africa: Oh So Heavenly, iWori, Dr Sole and many more. Visit https://www.canway.co.za/",1945,2220,"Bengaluru, Karnataka, India",,,Bangalore,,,"c block, doddakannelli, sarjapur rd, bengaluru, karnataka, india",560035,+918028440011,manufacturing,mechanical or industrial engineering,,,"Personal Care,Lighting,Modular Furniture,Electrical Wired devices,Best In Class Technology,Best in class efficiency,Skin Care,Home Care,FMCG,FoodsBusiness,Manufacturing,ConsumerCare,Wipro,Brands,Spices",1001-5000,"https://twitter.com/Wipro, https://www.facebook.com/WiproLimited/","lighting, skin care, home care, personal care, modular furniture, halal products, electrical wired devices, best in class technology, best in class efficiency",1471590000,"reCAPTCHA, iCIMS, YouTube, WordPress.org, Vimeo, Typekit, Salesforce, Route 53, Pardot, Outlook, Omniture (Adobe), Mobile Friendly, Marketo, Google Tag Manager, Google Font API, Apache, Amazon CloudFront, Amazon AWS, Adobe Marketing Cloud, Adobe CQ",,,,,
Telix Pharmaceuticals Limited,https://www.linkedin.com/company/telixpharma,https://www.linkedin.com/company/18067478,telixpharma.com,"Telix is a biopharmaceutical company focused on the development and commercialisation of therapeutic and diagnostic ('theranostic') radiopharmaceuticals. Telix is headquartered in Melbourne, Australia with commercial operations in the United States, Europe (Belgium and Switzerland) and Japan. Telix is developing a portfolio of radiopharmaceutical products that aims to address significant unmet medical need in oncology and rare diseases. Telix is listed on the Australian Securities Exchange (ASX: TLX).",2015,527,"North Melbourne, Victoria, Australia",,,North Melbourne,,,"suite 226, 55 flemington road, north melbourne, victoria 3057, au",3051,,pharmaceutical manufacturing,biotechnology research,research,,"Oncology,Theranostics,Radiology,Radiopharmaceuticals,Cancer ,Prostate Cancer,Renal Cancer,Glioblastoma,Positron Emission Tomography,Nuclear Medicine,Molecularly Targeted Radiation,Urology,Molecular Imaging,Cancer Imaging,Cancer Therapy",501-1000,"https://twitter.com/TelixPharma, https://www.facebook.com/TelixPharma","radiology, nuclear medicine, oncology, cancer therapy, cancer, molecular imaging, urology, positron emission tomography, prostate cancer, cancer imaging, radiopharmaceuticals, glioblastoma, theranostics, renal cancer, molecularly targeted radiation",3994000,"reCAPTCHA, YouTube, WordPress.org, Vimeo, Outlook, Mobile Friendly, Microsoft Office 365, Gravity Forms, Google Tag Manager, Google Maps (Non Paid Users), Google Maps, Bootstrap Framework, Apache",,,,,info@telixpharma.com
BlueScope,https://www.linkedin.com/company/bluescope-steel,https://www.linkedin.com/company/162740,bluescope.com,"With over 16,500 people across 15 countries, BlueScope is a leading international supplier of steel products and solutions for building and construction markets. Australia’s largest manufacturer, BlueScope’s portfolio of brands includes COLORBOND®, ZINCALUME® and TRUECORE® steels and the LYSAGHT® range of building products.  Steel plays a critical role in sustainable development. To BlueScope, sustainability means developing, manufacturing and selling steel products and solutions in a way that provides for a sustainable future, with a focus on continuous improvement, adopting new operating methods and anticipating new products for the future.BlueScope’s long-term growth is underscored by the sustainability of steel and the critical role it will play in supporting a sustainable society. We take a life-cycle approach, looking at the impact of a product over its entire life and focusing on the four principles of a circular economy: reduce, reuse, remanufacture and recycle.Our steel products and services ensure that we contribute to the opportunities and challenges of society’s move to a lower-carbon economy. To deliver long-lasting value and meet the expectations of all of our stakeholders, our business must transform on all fronts. Read BlueScope's latest Sustainability Report at bluescope.com/sustainable-steel.Interested in an exciting career at one of Australia’s most reputable companies with a track record of making things happen? Find out more at bluescope.comBlueScope has been named an Inclusive Employer for 2019–2020 by the Diversity Council of Australia.",1928,5142,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,,,+611800800789,building materials,,,,,5001-10000,"https://twitter.com/bluescope, https://facebook.com/BlueScopeAus/",,,,,,,,
